Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -0.34 11.38 -2.07 4.39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.48 -2.07 
2020 -2.39 4.59 14.65 -0.89 0.21 -1.62 2.31 0.75 -5.69 1.22 -0.65 11.20 24.32 -5.69 
2019 -5.82 -0.27 3.74 1.37 6.21 -1.79 1.71 10.06 -6.81 -2.91 1.57 3.27 9.46 -9.52 
2018 12.49 -5.78 -1.64 0.08 -2.72 -1.18 -0.74 1.81 -0.98 -4.43 0.88 1.60 -1.69 -14.73 
2017 -0.83 4.69 -6.41 0.38 2.00 -4.53 0.87 1.15 -6.67 6.24 -0.45 3.04 -1.44 -12.89 
2016 8.59 5.02 -6.95 -6.75 -2.33 2.15 1.84 -5.42 -1.35 -4.88 -2.55 -0.90 -13.83 -24.44 
2015 3.40 -1.54 0.53 0.09 0.71 -4.58 4.66 -2.65 3.90 -3.62 3.09 -3.26 0.17 -4.80 
2014 -3.05 -2.15 -3.25 0.41 0.73 1.60 7.32 4.68 7.67 2.62 5.47 2.90 27.06 -8.22 
2013 5.74 -3.60 2.73 2.30 -5.52 -1.53 -3.94 -2.21 -4.29 2.62 3.90 -3.00 -7.33 -16.36 
2012 0.90 6.30 -3.40 0.60 19.10 -6.40 0.30 -2.70 -1.20 -5.40 -1.00 1.20 6.19 -15.48 
2011 0.70 3.10 -4.32 6.10 -9.80 -5.30 6.80 -2.00 3.40 -9.00 2.10 -1.40 -10.74 -15.88 
2010 -11.00 -1.10 6.00 0.50 -3.64 -1.70 -0.60 0.80 6.20 6.80 -0.20 5.90 6.68 -11.98 
2009 -1.90 0.40 -6.60 -2.70 0.50 -6.00 -1.30 2.50 0.30 -1.90 3.83 -2.00 -14.35 -16.54 
2008 3.50 14.90 -1.40 0.20 1.70 5.30 -6.10 1.20 5.80 11.90 2.80 0.50 46.24 -6.10 
2007 3.80 -5.20 -3.20 4.20 3.60 4.70 -7.30 -1.10 10.40 6.60 -0.30 1.30 17.32 -8.32 
2006 4.60 -5.90 7.60 16.10 1.20 -2.40 -4.20 1.30 -2.00 0.70 1.30 0.00 17.82 -7.18 
2005 -5.00 7.30 -1.80 -4.00 3.70 2.00 0.20 3.70 4.10 -7.60 8.20 -0.40 9.48 -7.60 
2004 -1.10 9.60 -2.10 -12.50 -5.60 -5.00 -3.80 0.10 -1.50 3.60 10.50 -3.80 -13.02 -27.13 
2003 5.10 10.30 -12.60 1.10 13.00 -2.20 2.40 0.00 2.60 7.20 -2.70 8.60 34.72 -12.60 
2002 -4.70 -9.80 5.30 -4.10 6.50 13.70 5.50 -1.30 3.90 -12.00 -5.40 2.90 -2.58 -16.75 
2001 -0.30 1.80 17.00 -6.80 -0.70 -0.20 -1.70 6.20 13.00 -0.30 -9.70 -1.70 14.50 -11.50 
2000 -0.70 2.90 -2.50 -0.80 8.80 -4.70 -2.80 4.60 -5.90 2.70 7.20 9.00 17.65 -8.82 
1999 -4.80 17.30 -6.00 5.00 -4.30 -1.10 -6.30 -0.80 7.50 -18.10 2.10 2.00 -11.09 -23.55 
1998 -0.40 3.30 -3.80 -10.60 -0.60 -6.30 -3.80 32.80 8.10 -8.80 -3.00 2.70 3.40 -22.94 
1997 5.60 8.60 4.00 -8.10 1.10 0.90 7.50 -4.30 -0.30 -6.50 1.00 5.90 14.69 -10.79 
1996 -2.90 -16.50 -1.60 3.50 -5.90 4.10 1.50 -2.80 3.00 18.90 9.60 -8.70 -2.21 -22.30 
1995 -7.90 7.70 21.30 16.70 22.80 -0.70 -19.30 -13.30 -9.70 -5.10 0.80 17.20 21.28 -40.46 
1994 -13.00 -11.40 12.00 -1.40 11.90 -1.20 -6.80 -7.20 -1.20 -11.10 14.40 -0.20 -18.38 -28.51 
1993 6.90 8.50 3.00 10.20 -5.50 -1.50 22.00 9.50 -2.70 -1.90 -2.40 8.20 65.02 -6.92 
1992 -15.20 -5.80 -5.70 -4.80 -3.80 5.40 9.40 1.20 -12.10 -1.10 0.80 -4.30 -32.49 -32.49 
1991 -7.30 -11.80 0.20 -4.80 -3.20 1.10 -11.30 -1.80 13.40 -2.80 -2.60 44.60 3.21 -33.52 
1990 5.30 0.50 36.40 39.60 -15.90 18.00 11.50 16.70 9.40 2.90 0.20 -2.00 187.64 -15.90 
1989 -4.10 -2.40 17.10 -18.20 34.00 -4.00 5.30 -22.40 -7.70 -19.30 0.60 36.00 -3.96 -42.20 
1988 3.30 9.40 -5.80 -16.60 9.50 77.10 -19.60 4.60 10.50 15.80 8.50 11.90 124.95 -21.44 
1987 27.40 -9.30 15.60 108.30 -1.00 -3.70 9.90 -13.10 6.70 -6.10 1.60 7.80 178.00 -13.10 
1986 33.60 84.20 23.30 -9.80 -5.20 -14.70 6.60 7.20 -0.30 -6.90 0.00 0.00 134.76 -27.06 
1985 26.70 23.10 -20.30 -27.80 72.50 -22.50 29.20 -18.80 -26.90 -6.60 47.00 20.00 51.60 -44.90 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since1/1985 
"Classic 4.39 13.86 13.48 21.61 45.50 30.30 36.75 32,240.96 "
"S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 2,278.48 "
"+/- S&P 500 -0.85 -2.36 -1.45 -26.61 -17.50 -76.59 -176.54 29,962.48 "
Type Managed Account 
"Minimum Investment $ 5,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 1.00% 
Performance Fee 10.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark No 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 2500 RT/YR/$M 
Avg. Margin-to-Equity 15% 
Targeted Worst DD  
Worst Peak-to-Trough 0% 
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 25.00% 
1-3 Months 50.00% 
1-30 Days 25.00% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
Trend Following Strategy Index Month 8 7.30 2/2005 
Systematic Trader Index Month 8 7.30 2/2005 
Systematic Trader Index Month 10 2.40 7/2003 
Diversified Trader Index Month 10 2.40 7/2003 
Trend Following Strategy Index Month 7 2.40 7/2003 
Diversified Trader Index Month 7 13.00 9/2001 
Systematic Trader Index Month 8 13.00 9/2001 
Trend Following Strategy Index Month 8 13.00 9/2001 
IASG CTA Index Month 9 13.00 9/2001 
IASG CTA Index Month 2 17.00 3/2001 
Trend Following Strategy Index Month 2 17.00 3/2001 
Diversified Trader Index Month 2 17.00 3/2001 
Systematic Trader Index Month 2 17.00 3/2001 
Trend Following Strategy Index Month 7 8.80 5/2000 
Systematic Trader Index Month 9 8.80 5/2000 
Diversified Trader Index Month 9 8.80 5/2000 
IASG CTA Index Month 10 8.80 5/2000 
Trend Following Strategy Index Month 8 2.90 2/2000 
Diversified Trader Index Month 3 7.50 9/1999 
IASG CTA Index Month 4 7.50 9/1999 
Systematic Trader Index Month 2 7.50 9/1999 
Trend Following Strategy Index Month 2 7.50 9/1999 
IASG CTA Index Month 2 17.30 2/1999 
Trend Following Strategy Index Month 1 17.30 2/1999 
Systematic Trader Index Month 2 17.30 2/1999 
Diversified Trader Index Month 2 17.30 2/1999 
IASG CTA Index Month 5 32.80 8/1998 
Trend Following Strategy Index Month 5 32.80 8/1998 
Systematic Trader Index Month 5 32.80 8/1998 
Diversified Trader Index Month 5 32.80 8/1998 
Trend Following Strategy Index Month 8 3.30 2/1998 
Diversified Trader Index Month 9 3.30 2/1998 
Systematic Trader Index Month 10 3.30 2/1998 
Systematic Trader Index Month 10 5.90 12/1997 
Trend Following Strategy Index Month 9 5.90 12/1997 
Trend Following Strategy Index Month 10 1.10 5/1997 
Systematic Trader Index Month 10 4.00 3/1997 
Diversified Trader Index Month 10 4.00 3/1997 
Trend Following Strategy Index Month 9 4.00 3/1997 
Diversified Trader Index Month 8 8.60 2/1997 
Systematic Trader Index Month 8 8.60 2/1997 
IASG CTA Index Month 8 8.60 2/1997 
Trend Following Strategy Index Month 7 8.60 2/1997 
IASG CTA Index Month 8 18.90 10/1996 
Systematic Trader Index Month 8 18.90 10/1996 
Trend Following Strategy Index Month 8 18.90 10/1996 
Diversified Trader Index Month 8 18.90 10/1996 
IASG CTA Index Month 4 1.50 7/1996 
Trend Following Strategy Index Month 3 1.50 7/1996 
Systematic Trader Index Month 3 1.50 7/1996 
Diversified Trader Index Month 3 1.50 7/1996 
Trend Following Strategy Index Month 5 4.10 6/1996 
Systematic Trader Index Month 6 4.10 6/1996 
IASG CTA Index Month 9 4.10 6/1996 
Diversified Trader Index Month 8 4.10 6/1996 
Trend Following Strategy Index Month 6 17.20 12/1995 
IASG CTA Index Month 7 17.20 12/1995 
Diversified Trader Index Month 7 17.20 12/1995 
Systematic Trader Index Month 7 17.20 12/1995 
Trend Following Strategy Index Month 10 -0.70 6/1995 
Systematic Trader Index Month 2 22.80 5/1995 
Diversified Trader Index Month 2 22.80 5/1995 
IASG CTA Index Month 2 22.80 5/1995 
Trend Following Strategy Index Month 2 22.80 5/1995 
IASG CTA Index Month 1 16.70 4/1995 
Systematic Trader Index Month 1 16.70 4/1995 
Diversified Trader Index Month 1 16.70 4/1995 
Trend Following Strategy Index Month 1 16.70 4/1995 
IASG CTA Index Month 7 21.30 3/1995 
Trend Following Strategy Index Month 6 21.30 3/1995 
Systematic Trader Index Month 6 21.30 3/1995 
Diversified Trader Index Month 6 21.30 3/1995 
IASG CTA Index 5 Year 5 169.94 1989 - 1994 
Trend Following Strategy Index Month 8 -0.20 12/1994 
IASG CTA Index Month 6 14.40 11/1994 
Diversified Trader Index Month 5 14.40 11/1994 
Systematic Trader Index Month 5 14.40 11/1994 
Trend Following Strategy Index Month 5 14.40 11/1994 
Trend Following Strategy Index Month 6 11.90 5/1994 
Diversified Trader Index Month 7 11.90 5/1994 
Systematic Trader Index Month 7 11.90 5/1994 
IASG CTA Index Month 7 11.90 5/1994 
Trend Following Strategy Index Month 10 -1.40 4/1994 
Diversified Trader Index Month 8 12.00 3/1994 
Systematic Trader Index Month 7 12.00 3/1994 
Trend Following Strategy Index Month 7 12.00 3/1994 
IASG CTA Index Month 8 12.00 3/1994 
IASG CTA Index 5 Year 6 217.63 1988 - 1993 
IASG CTA Index Annual 5 65.02 1993 
Trend Following Strategy Index Month 8 8.20 12/1993 
Systematic Trader Index Month 10 8.20 12/1993 
Diversified Trader Index Month 3 9.50 8/1993 
IASG CTA Index Month 3 9.50 8/1993 
Systematic Trader Index Month 2 9.50 8/1993 
Trend Following Strategy Index Month 2 9.50 8/1993 
Diversified Trader Index Month 1 22.00 7/1993 
Systematic Trader Index Month 1 22.00 7/1993 
IASG CTA Index Month 1 22.00 7/1993 
Trend Following Strategy Index Month 1 22.00 7/1993 
IASG CTA Index Month 7 10.20 4/1993 
Program Name CAROR 
Classic 17.24% 
EMC Alpha Plus Program 9.45% 
EMC Alpha Program 6.40% 
EMC Balance Program 5.81% 
Momentum 50.00%
Trend-following 50.00%
Interest Rates 26.00%
Currency Futures 20.00%
Stock Indices 14.00%
Energy 10.00%
Softs 10.00%
Grains 8.00%
Industrial Metals 6.00%
Precious Metals 4.00%
Livestock 2.00%
Annualized Vol 43.12%
Sharpe (RFR=1%) 0.52
CAROR 17.24%
Assets $ 21.0M
Worst DD -45.35
S&P  Correlation 0.03
