Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -7.82 1.49 -1.23 1.93 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.81 -7.82 
2020 5.79 -2.62 -0.87 1.23 2.81 2.76 1.86 -0.01 -3.31 0.14 12.24 -0.35 20.47 -3.47 
2019 6.27 1.60 10.90 4.74 -6.03 12.43 5.25 2.20 -0.69 -3.69 3.54 -2.47 37.66 -6.03 
2018 11.50 -5.99 0.78 -4.33 -4.14 -3.46 0.07 -6.54 0.79 -10.98 3.93 9.27 -10.87 -29.61 
2017 3.96 7.68 6.52 1.84 4.62 -4.42 4.54 -2.09 3.80 11.03 3.16 -2.07 44.71 -4.42 
2016 8.24 6.27 6.08 -5.64 8.09 -2.00 8.71 -0.51 -1.38 -5.80 -2.24 6.73 27.86 -9.64 
2015 0.0 0.0 0.0 0.0 0.0 -6.07 5.24 -15.13 -1.63 5.74 -0.07 -5.78 -17.84 -17.84 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since6/2015 
MACH 3 1.93 2.18 -5.81 9.75 37.74 123.72 - 111.64 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 107.11 
+/- S&P 500 -3.31 -14.05 -20.74 -38.47 -25.26 16.83 - 4.53 
Type Fund 
Minimum Investment € 100k 
Trading Level Incremental Increase € 0k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $20.00 
Available to US Investors No 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 1500 RT/YR/$M 
Avg. Margin-to-Equity 30% 
Targeted Worst DD -30.00% 
Worst Peak-to-Trough 30.00% 
Sector Focus Diversified Traders 
Over 12 Months 20.00% 
4-12 Months 30.00% 
1-3 Months 30.00% 
1-30 Days 20.00% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
IASG CTA Index 5 Year 2 173.49 2015 - 2020 
Diversified Trader Index Month 5 12.24 11/2020 
IASG CTA Index Month 7 12.24 11/2020 
Systematic Trader Index Month 7 12.24 11/2020 
Diversified Trader Index Month 5 2.76 6/2020 
Diversified Trader Index Month 6 2.81 5/2020 
IASG CTA Index Month 8 5.79 1/2020 
Systematic Trader Index Month 8 5.79 1/2020 
Diversified Trader Index Month 8 5.79 1/2020 
IASG CTA Index 3 Year 6 77.55 2016 - 2019 
IASG CTA Index Annual 3 37.66 2019 
Systematic Trader Index Month 9 3.54 11/2019 
IASG CTA Index Month 10 3.54 11/2019 
Diversified Trader Index Month 7 3.54 11/2019 
IASG CTA Index Month 4 5.25 7/2019 
Systematic Trader Index Month 6 5.25 7/2019 
Diversified Trader Index Month 5 5.25 7/2019 
Systematic Trader Index Month 3 12.43 6/2019 
Diversified Trader Index Month 2 12.43 6/2019 
IASG CTA Index Month 2 12.43 6/2019 
IASG CTA Index Month 10 4.74 4/2019 
Diversified Trader Index Month 10 4.74 4/2019 
Systematic Trader Index Month 9 4.74 4/2019 
IASG CTA Index Month 8 10.90 3/2019 
Diversified Trader Index Month 5 10.90 3/2019 
Systematic Trader Index Month 6 10.90 3/2019 
IASG CTA Index Month 6 6.27 1/2019 
Systematic Trader Index Month 8 6.27 1/2019 
Diversified Trader Index Month 7 6.27 1/2019 
Diversified Trader Index Month 5 9.27 12/2018 
IASG CTA Index Month 2 9.27 12/2018 
IASG CTA Index 3 Year 5 64.92 2015 - 2018 
Systematic Trader Index Month 5 9.27 12/2018 
Systematic Trader Index Month 5 11.50 1/2018 
IASG CTA Index Month 5 11.50 1/2018 
Diversified Trader Index Month 5 11.50 1/2018 
IASG CTA Index Annual 3 44.71 2017 
Diversified Trader Index Month 5 3.16 11/2017 
Systematic Trader Index Month 8 3.16 11/2017 
IASG CTA Index Month 10 3.16 11/2017 
Diversified Trader Index Month 5 11.03 10/2017 
IASG CTA Index Month 6 11.03 10/2017 
Systematic Trader Index Month 5 11.03 10/2017 
Diversified Trader Index Month 3 3.80 9/2017 
Systematic Trader Index Month 1 3.80 9/2017 
IASG CTA Index Month 6 3.80 9/2017 
Systematic Trader Index Month 6 4.62 5/2017 
Diversified Trader Index Month 8 4.62 5/2017 
Systematic Trader Index Month 1 6.52 3/2017 
Diversified Trader Index Month 2 6.52 3/2017 
Program Name CAROR 
MACH 3 13.51% 
OUESSANT UCITS FUND (A) 3.88% 
Arbitrage 15.00%
Counter-trend 10.00%
Momentum 15.00%
Pattern Recognition 10.00%
Spreading/hedging 10.00%
Technical 15.00%
Trend-following 25.00%
Currency Futures 25.00%
Interest Rates 25.00%
Stock Indices 25.00%
VIX 25.00%
Annualized Vol 19.48%
Sharpe (RFR=1%) 0.70
CAROR 13.51%
Assets € 35.2M
Worst DD -29.61
S&P  Correlation 0.42
